Year,Month,Country,Location,T_area (ha)
2019,Mar,SUDAN,"[('near', 'Karora')]",25
2019,Mar,ERITREA,"[('between', 'Massawa')]",7115
2019,Mar,EGYPT,"[('between', 'Abu Ramad'), ('near', 'Berenice'), ('near', 'Lake Nasser'), ('near', 'the Libya')]",4021
2019,Mar,ARABIA,"[('near', 'Umm Lajj'), ('between', 'Lith'), ('near', 'Thuwal')]",45705
2019,Mar,IRAN,"[('near', 'Minab'), ('near', 'Bushehr')]",2760
2019,Mar,PAKISTAN,"[('between', 'Uthal')]",345
2019,Jul,ALGERIA,"[('between', 'Timimoun'), ('near', 'agric')]",115
2019,Jul,SUDAN,"[('between', 'S uakin'), ('between', 'Khartoum'), ('between', 'El Obeid'), ('near', 'Abu')]",1180
2019,Jul,EGYPT,"[('near', 'farms')]",4
2019,Jul,ARABIA,"[('near', 'Wadi Dawasir'), ('between', 'Riyadh'), ('near', 'Qaryat Al')]",1300
2019,Jul,YEMEN,location missing,4605
2019,Jul,OMAN,"[('near', 'Sinaw'), ('near', 'Sur')]",25
2019,Jul,PAKISTAN,"[('near', 'Nushki'), ('near', 'Khuzdar'), ('near', 'Islamgarh')]",7666
2019,Jul,INDIA,location missing,26764
2020,Sep,SUDAN,"[('near', 'Haiya'), ('near', 'El Fasher'), ('near', 'Sodiri')]",9900
2020,Sep,ERITREA,"[('near', 'Asmara'), ('near', 'Afabet'), ('near', 'Naro'), ('between', 'Assab'), ('near', 'Kerkebet'), ('near', 'Mehimet')]",5013
2020,Sep,ETHIOPIA,"[('between', 'Jijiga'), ('near', 'As')]",57457
2020,Sep,SOMALIA,"[('between', 'Hargeisa'), ('near', 'Erigavo'), ('between', 'Iskushuban'), ('near', 'Boroma'), ('near', 'Dusa Mareb')]",17477
2020,Sep,KENYA,location missing,2100
2020,Sep,ARABIA,"[('near', 'Jizan'), ('between', 'Abha and'), ('near', 'Lith where')]",1355
2020,Sep,YEMEN,"[('near', 'Al Hazm'), ('near', 'Marib'), ('near', 'Sayun'), ('near', 'Zinjibar'), ('near', 'Al Hazm'), ('between', 'Al Zuhrah')]",5828
2019,Apr,MAURITANIA,location missing,88
2019,Apr,EGYPT,"[('between', 'Abu Ramad'), ('near', 'Abu Ramad'), ('between', 'Berenice'), ('near', 'Lake Nasser')]",7470
2019,Apr,ARABIA,"[('between', 'Bader'), ('near', 'L'), ('between', 'Riyadh'), ('between', 'Gassim and'), ('between', 'Wadi Dawasir'), ('near', 'Najran')]",27812
2019,Apr,IRAN,"[('between', 'Bander'), ('between', 'Kahnuj'), ('near', 'Nehbandan'), ('between', 'J ask'), ('near', 'Bushehr'), ('near', 'Minab')]",86570
2019,Apr,PAKISTAN,"[('near', 'Turbat'), ('between', 'Pasni and'), ('near', 'Uthal'), ('near', 'Ormara')]",540
2021,Oct,ETHIOPIA,"[('between', 'Chifra'), ('near', 'Dire Dawa'), ('near', 'Warder'), ('near', 'El Kere'), ('near', 'Mustakhil')]",138
2021,Oct,SOMALIA,"[('near', 'Belet Weyne')]",7486
2021,Oct,SUDAN,"[('between', 'Hamrat Esh'), ('between', 'K assala')]",346
2021,May,ALGERIA,"[('between', 'In Salah'), ('near', 'Tamanrasset'), ('near', 'Bechar')]",32
2021,May,SUDAN,"[('near', 'Tokar')]",2868
2021,May,ETHIOPIA,"[('between', 'Jijiga'), ('near', 'Ayasha')]",12663
2021,May,SOMALIA,"[('near', 'Iskushuban'), ('near', 'Galkayo')]",18304
2021,May,ARABIA,"[('between', 'Riyadh'), ('near', 'Al Jawf'), ('near', 'Jubail'), ('between', 'Medinah'), ('near', 'Khamis Mushait')]",11156
2021,May,JORDAN,"[('near', 'several'), ('near', 'Azraq'), ('near', 'Ghor Sa')]",300
2021,May,LEBANON,location missing,31
2021,May,IRAN,"[('near', 'Bandar Ganaveh')]",6370
2019,Nov,ALGERIA,"[('between', 'A'), ('between', 'Illizi'), ('near', 'In Guezzam'), ('near', 'In Guezzam'), ('between', 'Bordj Badji')]",272
2019,Nov,SUDAN,"[('between', 'Abu Uruq'), ('between', 'Kassala'), ('between', 'M'), ('between', 'Tokar and'), ('near', 'Karora')]",27165
2019,Nov,ERITREA,"[('between', 'Foro')]",6060
2019,Nov,ETHIOPIA,"[('near', 'Dire')]",10822
2019,Nov,YEMEN,"[('between', 'Al Zuhrah'), ('between', 'Lahij')]",5760
2019,Nov,OMAN,"[('near', 'Ras Al'), ('near', 'Ras Al'), ('near', 'the UAE'), ('near', 'Ibri'), ('near', 'Duqm')]",116
2019,Nov,IRAN,"[('near', 'Zarabad')]",1511
2019,Nov,PAKISTAN,location missing,60970
2021,Sep,SOMALIA,"[('between', 'Boroma'), ('near', 'Silil')]",9972
2021,Sep,SUDAN,"[('between', 'El Obeid'), ('near', 'Ed Debba')]",1400
2020,May,ETHIOPIA,"[('between', 'El Kere'), ('near', 'Mekele')]",57058
2020,May,SOMALIA,"[('between', 'Boroma'), ('between', 'Galkayo'), ('between', 'Berbera')]",10245
2020,May,KENYA,"[('near', 'the Persian'), ('between', 'Wadi Dawasir'), ('between', 'Hail'), ('near', 'Najran')]",9015
2020,May,ARABIA,"[('near', 'the Persian'), ('between', 'Wadi Dawasir'), ('between', 'Hail'), ('near', 'Najran')]",9015
2020,May,OMAN,"[('near', 'Rustaq'), ('near', 'Ras'), ('near', 'Buraimi'), ('near', 'Buraimi'), ('near', 'Sohar'), ('near', 'Ras Al')]",1385
2020,May,IRAQ,location missing,101
2020,May,PAKISTAN,"[('between', 'Panjgur')]",76466
2020,May,INDIA,"[('near', 'Uttar Pradesh'), ('near', 'Nagpur')]",53604
2020,Oct,SUDAN,"[('between', 'the Atbara'), ('near', 'Karora'), ('between', 'T omala')]",52912
2020,Oct,ERITREA,"[('near', 'Sheib'), ('near', 'Tio'), ('near', 'Mehimet and'), ('near', 'Sheib')]",10354
2020,Oct,ETHIOPIA,"[('near', 'Jijiga had'), ('between', 'Warder')]",335453
2020,Oct,SOMALIA,"[('between', 'Garowe'), ('between', 'Boroma')]",12974
2020,Oct,KENYA,location missing,318
2020,Oct,YEMEN,"[('near', 'Al Hazm'), ('near', 'Al'), ('between', 'Al Zuhrah')]",4609
